,Team,Opp,Day,Week
202009130atl,SEA,ATL,Sun,1
202009130car,LV,CAR,Sun,1
202009130rav,BAL,CLE,Sun,1
202009100kan,KC,HOU,Thu,1
202009130nor,TB,NO,Sun,1
202009130ram,LAR,DAL,Sun,1
202009130nwe,MIA,NE,Sun,1
202009130min,MIN,GB,Sun,1
202009130sfo,ARI,SF,Sun,1
202009130jax,IND,JAC,Sun,1
202009130sfo,SF,ARI,Sun,1
202009130buf,NYJ,BUF,Sun,1
202009130buf,BUF,NYJ,Sun,1
202009130min,GB,MIN,Sun,1
202009130car,CAR,LV,Sun,1
202009140nyg,PIT,NYG,Mon,1
202009130was,PHI,WAS,Sun,1
202009100kan,HOU,KC,Thu,1
202009130jax,JAC,IND,Sun,1
202009130det,CHI,DET,Sun,1
202009130cin,CIN,LAC,Sun,1
202009130det,DET,CHI,Sun,1
202009130nwe,NE,MIA,Sun,1
202009130was,WAS,PHI,Sun,1
202009130cin,LAC,CIN,Sun,1
202009140den,DEN,TEN,Mon,1
202009140nyg,NYG,PIT,Mon,1
202009130atl,ATL,SEA,Sun,1
202009130rav,CLE,BAL,Sun,1
202009130nor,NO,TB,Sun,1
202009140den,TEN,DEN,Mon,1
202009130ram,DAL,LAR,Sun,1
202009200sdg,KC,LAC,Sun,2
202009200tam,TB,CAR,Sun,2
202009200phi,LAR,PHI,Sun,2
202009200mia,MIA,BUF,Sun,2
202009200clt,MIN,IND,Sun,2
202009200crd,ARI,WAS,Sun,2
202009200clt,IND,MIN,Sun,2
202009200nyj,NYJ,SF,Sun,2
202009200dal,DAL,ATL,Sun,2
202009200nyj,SF,NYJ,Sun,2
202009200mia,BUF,MIA,Sun,2
202009200oti,TEN,JAC,Sun,2
202009210rai,NO,LV,Mon,2
202009200sea,SEA,NE,Sun,2
202009200tam,CAR,TB,Sun,2
202009200dal,ATL,DAL,Sun,2
202009200pit,PIT,DEN,Sun,2
202009200phi,PHI,LAR,Sun,2
202009200htx,HOU,BAL,Sun,2
202009200oti,JAC,TEN,Sun,2
202009200chi,CHI,NYG,Sun,2
202009170cle,CIN,CLE,Thu,2
202009200gnb,DET,GB,Sun,2
202009200sea,NE,SEA,Sun,2
202009200crd,WAS,ARI,Sun,2
202009200sdg,LAC,KC,Sun,2
202009200htx,BAL,HOU,Sun,2
202009210rai,LV,NO,Mon,2
202009200chi,NYG,CHI,Sun,2
202009200pit,DEN,PIT,Sun,2
202009170cle,CLE,CIN,Thu,2
202009200gnb,GB,DET,Sun,2
202009270buf,LAR,BUF,Sun,3
202009240jax,MIA,JAC,Thu,3
202009270min,MIN,TEN,Sun,3
202009270crd,ARI,DET,Sun,3
202009270clt,NYJ,IND,Sun,3
202009270sea,DAL,SEA,Sun,3
202009270clt,IND,NYJ,Sun,3
202009270nor,GB,NO,Sun,3
202009270nyg,SF,NYG,Sun,3
202009270buf,BUF,LAR,Sun,3
202009270sdg,LAC,CAR,Sun,3
202009270nyg,NYG,SF,Sun,3
202009270nor,NO,GB,Sun,3
202009270min,TEN,MIN,Sun,3
202009270sdg,CAR,LAC,Sun,3
202009270atl,ATL,CHI,Sun,3
202009270pit,PIT,HOU,Sun,3
202009270phi,PHI,CIN,Sun,3
202009270pit,HOU,PIT,Sun,3
202009240jax,JAC,MIA,Thu,3
202009270atl,CHI,ATL,Sun,3
202009270phi,CIN,PHI,Sun,3
202009270cle,CLE,WAS,Sun,3
202009270crd,DET,ARI,Sun,3
202009270nwe,NE,LV,Sun,3
202009270cle,WAS,CLE,Sun,3
202009270den,TB,DEN,Sun,3
202009280rav,KC,BAL,Mon,3
202009270sea,SEA,DAL,Sun,3
202009280rav,BAL,KC,Mon,3
202009270nwe,LV,NE,Sun,3
202009270den,DEN,TB,Sun,3
202010040rai,LV,BUF,Sun,4
202010040rai,BUF,LV,Sun,4
202010040tam,LAC,TB,Sun,4
202010040cin,CIN,JAC,Sun,4
202010040ram,NYG,LAR,Sun,4
202010040sfo,SF,PHI,Sun,4
202010040tam,TB,LAC,Sun,4
202010040chi,CHI,IND,Sun,4
202010040chi,IND,CHI,Sun,4
202010040was,BAL,WAS,Sun,4
202010050gnb,GB,ATL,Mon,4
202010040car,ARI,CAR,Sun,4
202010040det,DET,NO,Sun,4
202010040dal,DAL,CLE,Sun,4
202010010nyj,NYJ,DEN,Thu,4
202010040htx,MIN,HOU,Sun,4
202010040ram,LAR,NYG,Sun,4
202010050kan,NE,KC,Mon,4
202010040mia,MIA,SEA,Sun,4
202010040sfo,PHI,SF,Sun,4
202010040det,NO,DET,Sun,4
202010040cin,JAC,CIN,Sun,4
202010050gnb,ATL,GB,Mon,4
202010050kan,KC,NE,Mon,4
202010010nyj,DEN,NYJ,Thu,4
202010040was,WAS,BAL,Sun,4
202010040car,CAR,ARI,Sun,4
202010040mia,SEA,MIA,Sun,4
202010040dal,CLE,DAL,Sun,4
202010040htx,HOU,MIN,Sun,4
202010110dal,DAL,NYG,Sun,5
202010110sea,MIN,SEA,Sun,5
202010080chi,CHI,TB,Thu,5
202010110htx,JAC,HOU,Sun,5
202010110htx,HOU,JAC,Sun,5
202010110nyj,ARI,NYJ,Sun,5
202010110nyj,NYJ,ARI,Sun,5
202010110rav,BAL,CIN,Sun,5
202010110cle,CLE,IND,Sun,5
202010120nor,NO,LAC,Mon,5
202010110cle,IND,CLE,Sun,5
202010110dal,NYG,DAL,Sun,5
202010110pit,PIT,PHI,Sun,5
202010110atl,ATL,CAR,Sun,5
202010110sfo,SF,MIA,Sun,5
202010110rav,CIN,BAL,Sun,5
202010110kan,LV,KC,Sun,5
202010110atl,CAR,ATL,Sun,5
202010110sfo,MIA,SF,Sun,5
202010120nwe,NE,DEN,Mon,6
202010110pit,PHI,PIT,Sun,5
202010130oti,BUF,TEN,Tue,5
202010110sea,SEA,MIN,Sun,5
202010120nor,LAC,NO,Mon,5
202010110was,LAR,WAS,Sun,5
202010110kan,KC,LV,Sun,5
202010110was,WAS,LAR,Sun,5
202010130oti,TEN,BUF,Tue,5
202010080chi,TB,CHI,Thu,5
202010120nwe,DEN,NE,Mon,6
202010180phi,BAL,PHI,Sun,6
202010180sfo,LAR,SF,Sun,6
202010180clt,IND,CIN,Sun,6
202010180clt,CIN,IND,Sun,6
202010180sfo,SF,LAR,Sun,6
202010180sdg,LAC,NYJ,Sun,11
202010150buf,BUF,KC,Thu,6
202010180tam,TB,GB,Sun,6
202010180car,CAR,CHI,Sun,6
202010180oti,TEN,HOU,Sun,6
202010180den,DEN,MIA,Sun,11
202010180min,ATL,MIN,Sun,6
202010180nyg,WAS,NYG,Sun,6
202010180jax,DET,JAC,Sun,6
202010180pit,PIT,CLE,Sun,6
202010150buf,KC,BUF,Thu,6
202010180phi,PHI,BAL,Sun,6
202010180oti,HOU,TEN,Sun,6
202010180car,CHI,CAR,Sun,6
202010180pit,CLE,PIT,Sun,6
202010180jax,JAC,DET,Sun,6
202010180nyg,NYG,WAS,Sun,6
202010190dal,ARI,DAL,Mon,6
202010180den,MIA,DEN,Sun,11
202010190dal,DAL,ARI,Mon,6
202010180min,MIN,ATL,Sun,6
202010180tam,GB,TB,Sun,6
202010180sdg,NYJ,LAC,Sun,11
202010250den,KC,DEN,Sun,7
202010250cin,CIN,CLE,Sun,7
202010250oti,PIT,TEN,Sun,7
202010250mia,LAC,MIA,Sun,10
202010250nyj,BUF,NYJ,Sun,7
202010250was,WAS,DAL,Sun,7
202010250atl,DET,ATL,Sun,7
202010250was,DAL,WAS,Sun,7
202010250nyj,NYJ,BUF,Sun,7
202010250nwe,SF,NE,Sun,7
202010250crd,SEA,ARI,Sun,7
202010250nor,CAR,NO,Sun,7
202010250rai,LV,TB,Sun,7
202010220phi,PHI,NYG,Thu,7
202010250nwe,NE,SF,Sun,7
202010250oti,TEN,PIT,Sun,7
202010250den,DEN,KC,Sun,7
202010250nor,NO,CAR,Sun,7
202010250crd,ARI,SEA,Sun,7
202010250atl,ATL,DET,Sun,7
202010250cin,CLE,CIN,Sun,7
202010250mia,MIA,LAC,Sun,10
202010250rai,TB,LV,Sun,7
202010260ram,CHI,LAR,Mon,7
202010250htx,HOU,GB,Sun,7
